1,90,C   
2,90,C   
3,92,C   
4,92,C   
5,90,C   
6,90,C   
7,81,C   
8,92,C   
9,92,C   
10,81,C   
11,90,C   
12,90,C   
13,92,C   
14,92,C   
15,90,C   
16,92,C   
17,92,C   
18,108,C   
19,90,C   
20,90,C   
21,92,C   
22,92,C   
23,94,C   
24,82,C   
25,82,C   
26,94,C   
27,108,C   
28,92,C   
29,92,C   
30,108,C   
31,222,C   
32,86,C   
33,86,C   
34,222,C   
35,81,C   
36,620,C   
37,463,C   
38,462,C   
39,461,N   
40,631,C   
41,463,C   
42,464,C   
43,94,C   
44,81,C   
45,81,C   
46,456,C   
47,94,C   
48,90,C   
49,632,C   
50,90,C   
51,90,C   
52,90,C   
53,90,C   
54,94,C   
55,80,C   
56,93,C   
57,93,C   
58,93,C   
59,93,C   
60,93,C   
61,109,O   
62,80,C   
63,80,C   
64,109,O   
65,109,O   
66,223,O   
67,223,O   
68,93,C   
69,93,C   
70,85,H   
71,85,H   
72,85,H   
73,85,H   
74,91,H   
75,85,H   
76,85,H   
77,85,H   
78,85,H   
79,85,H   
80,85,H   
81,85,H   
82,85,H   
83,85,H   
84,85,H   
85,85,H   
86,85,H   
87,85,H   
88,85,H   
89,85,H   
90,85,H   
91,85,H   
92,85,H   
93,85,H   
94,91,H   
95,91,H   
96,85,H   
97,85,H   
98,85,H   
99,85,H   
100,85,H   
101,85,H   
102,85,H   
103,85,H   
104,85,H   
105,85,H   
106,85,H   
107,85,H   
108,85,H   
109,85,H   
110,85,H   
111,85,H   
112,85,H   
113,85,H   
114,85,H   
115,85,H   
116,110,H   
117,85,H   
118,85,H   
119,85,H   
120,85,H   
121,85,H   
122,85,H   
123,110,H   
124,110,H   
125,85,H   
126,85,H   
127,85,H   
128,85,H   
129,85,H   
130,85,H   
